ID	Plate	well	
Haus8 sgRNA #1	190219_195942-V	B12	
Haus8 sgRNA #2	190219_195942-V	E1	
Haus8 sgRNA #3	190219_195942-V	F2	
Haus8 sgRNA #4	190219_195942-V	G2	
DyncH1 sgRNA #3	190219_195942-V	A1	
Incenp sgRNA #1	190219_195942-V	G4	
Incenp sgRNA #2	190219_195942-V	G6	
Incenp sgRNA #3	190219_195942-V	H1	
Rad21 sgRNA #1	190219_195942-V	H3	
Rad21 sgRNA #2	190219_195942-V	H5	
Rad21 sgRNA #3	190219_195942-V	H7	
Haus8 sgRNA #1	190219_195942-V	C12	
Haus8 sgRNA #2	190219_195942-V	F1	
Haus8 sgRNA #3	190219_195942-V	G1	
Haus8 sgRNA #4	190219_195942-V	G3	
DyncH1 sgRNA #3	190219_195942-V	A12	
Incenp sgRNA #1	190219_195942-V	G5	
Incenp sgRNA #2	190219_195942-V	G8	
Incenp sgRNA #3	190219_195942-V	H2	
Rad21 sgRNA #1	190219_195942-V	H4	
Rad21 sgRNA #2	190219_195942-V	H6	
Rad21 sgRNA #3	190219_145120-V	A3	
